,DISTRITO,CLASE,ELECTORES
0,Buenos Aires,1900,0
1,Buenos Aires,1902,0
2,Buenos Aires,1906,1
3,Buenos Aires,1907,2
4,Buenos Aires,1908,1
5,Buenos Aires,1909,4
6,Buenos Aires,1910,6
7,Buenos Aires,1911,4
8,Buenos Aires,1912,4
9,Buenos Aires,1913,5
10,Buenos Aires,1914,10
11,Buenos Aires,1915,1
12,Buenos Aires,1916,6
13,Buenos Aires,1917,12
14,Buenos Aires,1918,322
15,Buenos Aires,1919,891
16,Buenos Aires,1920,3603
17,Buenos Aires,1921,3903
18,Buenos Aires,1922,4326
19,Buenos Aires,1923,4859
20,Buenos Aires,1924,5398
21,Buenos Aires,1925,6320
22,Buenos Aires,1926,7321
23,Buenos Aires,1927,8877
24,Buenos Aires,1928,10911
25,Buenos Aires,1929,12780
26,Buenos Aires,1930,15692
27,Buenos Aires,1931,17890
28,Buenos Aires,1932,20801
29,Buenos Aires,1933,22781
30,Buenos Aires,1934,25767
31,Buenos Aires,1935,29768
32,Buenos Aires,1936,32749
33,Buenos Aires,1937,36416
34,Buenos Aires,1938,41223
35,Buenos Aires,1939,46479
36,Buenos Aires,1940,51323
37,Buenos Aires,1941,54111
38,Buenos Aires,1942,58450
39,Buenos Aires,1943,65248
40,Buenos Aires,1944,71722
41,Buenos Aires,1945,79475
42,Buenos Aires,1946,82156
43,Buenos Aires,1947,87815
44,Buenos Aires,1948,95143
45,Buenos Aires,1949,98963
46,Buenos Aires,1950,107737
47,Buenos Aires,1951,113178
48,Buenos Aires,1952,115442
49,Buenos Aires,1953,120154
50,Buenos Aires,1954,124010
51,Buenos Aires,1955,128523
52,Buenos Aires,1956,133541
53,Buenos Aires,1957,136710
54,Buenos Aires,1958,140137
55,Buenos Aires,1959,143122
56,Buenos Aires,1960,145201
57,Buenos Aires,1961,150262
58,Buenos Aires,1962,155671
59,Buenos Aires,1963,157620
60,Buenos Aires,1964,158781
61,Buenos Aires,1965,161807
62,Buenos Aires,1966,160585
63,Buenos Aires,1967,165006
64,Buenos Aires,1968,168575
65,Buenos Aires,1969,177942
66,Buenos Aires,1970,187931
67,Buenos Aires,1971,199983
68,Buenos Aires,1972,199680
69,Buenos Aires,1973,200284
70,Buenos Aires,1974,206589
71,Buenos Aires,1975,219736
72,Buenos Aires,1976,223773
73,Buenos Aires,1977,239169
74,Buenos Aires,1978,241258
75,Buenos Aires,1979,246944
76,Buenos Aires,1980,244835
77,Buenos Aires,1981,243650
78,Buenos Aires,1982,244260
79,Buenos Aires,1983,228011
80,Buenos Aires,1984,227919
81,Buenos Aires,1985,235861
82,Buenos Aires,1986,247372
83,Buenos Aires,1987,244483
84,Buenos Aires,1988,251717
85,Buenos Aires,1989,250445
86,Buenos Aires,1990,259213
87,Buenos Aires,1991,268548
88,Buenos Aires,1992,256618
89,Buenos Aires,1993,253843
90,Buenos Aires,1994,260512
91,Buenos Aires,1995,265351
92,Buenos Aires,1996,266241
93,Buenos Aires,1997,261496
94,Buenos Aires,1998,262046
95,Buenos Aires,1999,257038
96,Buenos Aires,2000,263906
97,Buenos Aires,2001,252014
98,Buenos Aires,2002,255792
99,Buenos Aires,2003,254023
100,Buenos Aires,2004,263081
101,Buenos Aires,2005,249900
102,Buenos Aires,2006,237992
103,Buenos Aires,2007,169321
104,Capital Federal,1900,1
105,Capital Federal,1902,0
106,Capital Federal,1906,1
107,Capital Federal,1907,0
108,Capital Federal,1908,0
109,Capital Federal,1909,1
110,Capital Federal,1910,0
111,Capital Federal,1911,0
112,Capital Federal,1912,3
113,Capital Federal,1913,3
114,Capital Federal,1914,0
115,Capital Federal,1915,4
116,Capital Federal,1916,1
117,Capital Federal,1917,4
118,Capital Federal,1918,2
119,Capital Federal,1919,347
120,Capital Federal,1920,2026
121,Capital Federal,1921,2053
122,Capital Federal,1922,2338
123,Capital Federal,1923,2480
124,Capital Federal,1924,2970
125,Capital Federal,1925,3277
126,Capital Federal,1926,3724
127,Capital Federal,1927,4213
128,Capital Federal,1928,5090
129,Capital Federal,1929,5829
130,Capital Federal,1930,6807
131,Capital Federal,1931,7692
132,Capital Federal,1932,8456
133,Capital Federal,1933,8936
134,Capital Federal,1934,10466
135,Capital Federal,1935,11641
136,Capital Federal,1936,12396
137,Capital Federal,1937,13109
138,Capital Federal,1938,14643
139,Capital Federal,1939,16215
140,Capital Federal,1940,17542
141,Capital Federal,1941,18235
142,Capital Federal,1942,19006
143,Capital Federal,1943,21337
144,Capital Federal,1944,23053
145,Capital Federal,1945,24664
146,Capital Federal,1946,25023
147,Capital Federal,1947,25526
148,Capital Federal,1948,26791
149,Capital Federal,1949,27689
150,Capital Federal,1950,29745
151,Capital Federal,1951,29685
152,Capital Federal,1952,30141
153,Capital Federal,1953,30823
154,Capital Federal,1954,31274
155,Capital Federal,1955,32156
156,Capital Federal,1956,33129
157,Capital Federal,1957,33352
158,Capital Federal,1958,34138
159,Capital Federal,1959,34440
160,Capital Federal,1960,34436
161,Capital Federal,1961,34566
162,Capital Federal,1962,35536
163,Capital Federal,1963,34898
164,Capital Federal,1964,34534
165,Capital Federal,1965,34750
166,Capital Federal,1966,34550
167,Capital Federal,1967,35388
168,Capital Federal,1968,35591
169,Capital Federal,1969,36973
170,Capital Federal,1970,38338
171,Capital Federal,1971,40391
172,Capital Federal,1972,40661
173,Capital Federal,1973,41123
174,Capital Federal,1974,42912
175,Capital Federal,1975,45952
176,Capital Federal,1976,46056
177,Capital Federal,1977,46115
178,Capital Federal,1978,45594
179,Capital Federal,1979,45811
180,Capital Federal,1980,45120
181,Capital Federal,1981,44832
182,Capital Federal,1982,44047
183,Capital Federal,1983,42054
184,Capital Federal,1984,43116
185,Capital Federal,1985,43454
186,Capital Federal,1986,43743
187,Capital Federal,1987,42177
188,Capital Federal,1988,42661
189,Capital Federal,1989,40926
190,Capital Federal,1990,40528
191,Capital Federal,1991,39902
192,Capital Federal,1992,38042
193,Capital Federal,1993,36571
194,Capital Federal,1994,36791
195,Capital Federal,1995,36749
196,Capital Federal,1996,35983
197,Capital Federal,1997,34953
198,Capital Federal,1998,34753
199,Capital Federal,1999,34164
200,Capital Federal,2000,35050
201,Capital Federal,2001,33888
202,Capital Federal,2002,32852
203,Capital Federal,2003,33156
204,Capital Federal,2004,33882
205,Capital Federal,2005,32845
206,Capital Federal,2006,31217
207,Capital Federal,2007,22984
208,Catamarca,1900,0
209,Catamarca,1902,0
210,Catamarca,1906,0
211,Catamarca,1907,0
212,Catamarca,1908,0
213,Catamarca,1909,0
214,Catamarca,1910,0
215,Catamarca,1911,0
216,Catamarca,1912,0
217,Catamarca,1913,0
218,Catamarca,1914,0
219,Catamarca,1915,0
220,Catamarca,1916,0
221,Catamarca,1917,0
222,Catamarca,1918,0
223,Catamarca,1919,13
224,Catamarca,1920,78
225,Catamarca,1921,81
226,Catamarca,1922,109
227,Catamarca,1923,102
228,Catamarca,1924,101
229,Catamarca,1925,140
230,Catamarca,1926,158
231,Catamarca,1927,183
232,Catamarca,1928,221
233,Catamarca,1929,260
234,Catamarca,1930,318
235,Catamarca,1931,363
236,Catamarca,1932,452
237,Catamarca,1933,458
238,Catamarca,1934,508
239,Catamarca,1935,617
240,Catamarca,1936,600
241,Catamarca,1937,778
242,Catamarca,1938,774
243,Catamarca,1939,919
244,Catamarca,1940,1047
245,Catamarca,1941,1158
246,Catamarca,1942,1238
247,Catamarca,1943,1328
248,Catamarca,1944,1486
249,Catamarca,1945,1652
250,Catamarca,1946,1659
251,Catamarca,1947,1841
252,Catamarca,1948,2076
253,Catamarca,1949,2218
254,Catamarca,1950,2446
255,Catamarca,1951,2588
256,Catamarca,1952,2713
257,Catamarca,1953,2779
258,Catamarca,1954,2982
259,Catamarca,1955,2985
260,Catamarca,1956,3149
261,Catamarca,1957,3173
262,Catamarca,1958,3306
263,Catamarca,1959,3381
264,Catamarca,1960,3414
265,Catamarca,1961,3571
266,Catamarca,1962,3569
267,Catamarca,1963,3678
268,Catamarca,1964,3739
269,Catamarca,1965,3891
270,Catamarca,1966,3864
271,Catamarca,1967,3988
272,Catamarca,1968,4151
273,Catamarca,1969,4356
274,Catamarca,1970,4612
275,Catamarca,1971,4802
276,Catamarca,1972,4741
277,Catamarca,1973,4953
278,Catamarca,1974,5274
279,Catamarca,1975,5688
280,Catamarca,1976,5866
281,Catamarca,1977,6310
282,Catamarca,1978,6301
283,Catamarca,1979,6475
284,Catamarca,1980,6485
285,Catamarca,1981,6263
286,Catamarca,1982,6359
287,Catamarca,1983,5967
288,Catamarca,1984,6198
289,Catamarca,1985,6406
290,Catamarca,1986,6773
291,Catamarca,1987,6476
292,Catamarca,1988,6638
293,Catamarca,1989,6530
294,Catamarca,1990,6876
295,Catamarca,1991,7478
296,Catamarca,1992,7645
297,Catamarca,1993,7511
298,Catamarca,1994,7570
299,Catamarca,1995,7826
300,Catamarca,1996,7795
301,Catamarca,1997,7912
302,Catamarca,1998,7937
303,Catamarca,1999,7835
304,Catamarca,2000,7962
305,Catamarca,2001,7552
306,Catamarca,2002,7580
307,Catamarca,2003,7282
308,Catamarca,2004,6977
309,Catamarca,2005,6546
310,Catamarca,2006,6095
311,Catamarca,2007,4013
312,Chaco,1900,0
313,Chaco,1902,0
314,Chaco,1906,0
315,Chaco,1907,0
316,Chaco,1908,0
317,Chaco,1909,0
318,Chaco,1910,0
319,Chaco,1911,0
320,Chaco,1912,0
321,Chaco,1913,1
322,Chaco,1914,0
323,Chaco,1915,4
324,Chaco,1916,1
325,Chaco,1917,2
326,Chaco,1918,26
327,Chaco,1919,82
328,Chaco,1920,419
329,Chaco,1921,372
330,Chaco,1922,470
331,Chaco,1923,519
332,Chaco,1924,525
333,Chaco,1925,647
334,Chaco,1926,686
335,Chaco,1927,730
336,Chaco,1928,831
337,Chaco,1929,914
338,Chaco,1930,1155
339,Chaco,1931,1150
340,Chaco,1932,1227
341,Chaco,1933,1332
342,Chaco,1934,1553
343,Chaco,1935,1868
344,Chaco,1936,2091
345,Chaco,1937,2192
346,Chaco,1938,2408
347,Chaco,1939,2671
348,Chaco,1940,3049
349,Chaco,1941,2956
350,Chaco,1942,3479
351,Chaco,1943,3786
352,Chaco,1944,3976
353,Chaco,1945,4275
354,Chaco,1946,4463
355,Chaco,1947,5135
356,Chaco,1948,5594
357,Chaco,1949,5752
358,Chaco,1950,6420
359,Chaco,1951,7222
360,Chaco,1952,7306
361,Chaco,1953,8122
362,Chaco,1954,8082
363,Chaco,1955,8516
364,Chaco,1956,9542
365,Chaco,1957,9824
366,Chaco,1958,9549
367,Chaco,1959,9910
368,Chaco,1960,10461
369,Chaco,1961,10401
370,Chaco,1962,11076
371,Chaco,1963,11005
372,Chaco,1964,11574
373,Chaco,1965,11668
374,Chaco,1966,11747
375,Chaco,1967,12386
376,Chaco,1968,11355
377,Chaco,1969,12025
378,Chaco,1970,12546
379,Chaco,1971,12827
380,Chaco,1972,13256
381,Chaco,1973,13415
382,Chaco,1974,14257
383,Chaco,1975,14977
384,Chaco,1976,15604
385,Chaco,1977,16260
386,Chaco,1978,17578
387,Chaco,1979,18800
388,Chaco,1980,18532
389,Chaco,1981,18592
390,Chaco,1982,19239
391,Chaco,1983,18057
392,Chaco,1984,18167
393,Chaco,1985,18952
394,Chaco,1986,19825
395,Chaco,1987,19642
396,Chaco,1988,19817
397,Chaco,1989,20234
398,Chaco,1990,21651
399,Chaco,1991,23446
400,Chaco,1992,23404
401,Chaco,1993,22547
402,Chaco,1994,23662
403,Chaco,1995,23585
404,Chaco,1996,24332
405,Chaco,1997,24040
406,Chaco,1998,24341
407,Chaco,1999,24252
408,Chaco,2000,22483
409,Chaco,2001,21563
410,Chaco,2002,23213
411,Chaco,2003,22475
412,Chaco,2004,21863
413,Chaco,2005,20109
414,Chaco,2006,18132
415,Chaco,2007,11405
416,Chubut,1900,0
417,Chubut,1902,0
418,Chubut,1906,0
419,Chubut,1907,0
420,Chubut,1908,0
421,Chubut,1909,0
422,Chubut,1910,0
423,Chubut,1911,0
424,Chubut,1912,0
425,Chubut,1913,0
426,Chubut,1914,0
427,Chubut,1915,0
428,Chubut,1916,0
429,Chubut,1917,0
430,Chubut,1918,2
431,Chubut,1919,16
432,Chubut,1920,88
433,Chubut,1921,115
434,Chubut,1922,134
435,Chubut,1923,170
436,Chubut,1924,207
437,Chubut,1925,223
438,Chubut,1926,288
439,Chubut,1927,290
440,Chubut,1928,358
441,Chubut,1929,429
442,Chubut,1930,440
443,Chubut,1931,533
444,Chubut,1932,590
445,Chubut,1933,640
446,Chubut,1934,757
447,Chubut,1935,911
448,Chubut,1936,955
449,Chubut,1937,1089
450,Chubut,1938,1232
451,Chubut,1939,1311
452,Chubut,1940,1507
453,Chubut,1941,1595
454,Chubut,1942,1754
455,Chubut,1943,1989
456,Chubut,1944,2067
457,Chubut,1945,2245
458,Chubut,1946,2438
459,Chubut,1947,2514
460,Chubut,1948,2904
461,Chubut,1949,3078
462,Chubut,1950,3268
463,Chubut,1951,3462
464,Chubut,1952,3780
465,Chubut,1953,4017
466,Chubut,1954,3965
467,Chubut,1955,4230
468,Chubut,1956,4516
469,Chubut,1957,4573
470,Chubut,1958,4675
471,Chubut,1959,4755
472,Chubut,1960,4992
473,Chubut,1961,5226
474,Chubut,1962,5533
475,Chubut,1963,5533
476,Chubut,1964,5568
477,Chubut,1965,5592
478,Chubut,1966,5658
479,Chubut,1967,5634
480,Chubut,1968,5853
481,Chubut,1969,6098
482,Chubut,1970,6462
483,Chubut,1971,6874
484,Chubut,1972,7005
485,Chubut,1973,7297
486,Chubut,1974,7515
487,Chubut,1975,8371
488,Chubut,1976,8562
489,Chubut,1977,9289
490,Chubut,1978,9489
491,Chubut,1979,9750
492,Chubut,1980,9654
493,Chubut,1981,9661
494,Chubut,1982,9785
495,Chubut,1983,9404
496,Chubut,1984,9258
497,Chubut,1985,9619
498,Chubut,1986,10139
499,Chubut,1987,9971
500,Chubut,1988,9699
501,Chubut,1989,9713
502,Chubut,1990,9906
503,Chubut,1991,10396
504,Chubut,1992,9977
505,Chubut,1993,9718
506,Chubut,1994,10160
507,Chubut,1995,9915
508,Chubut,1996,10072
509,Chubut,1997,9876
510,Chubut,1998,9663
511,Chubut,1999,9532
512,Chubut,2000,9532
513,Chubut,2001,9110
514,Chubut,2002,8870
515,Chubut,2003,8690
516,Chubut,2004,8815
517,Chubut,2005,8632
518,Chubut,2006,8138
519,Chubut,2007,5877
520,Cordoba,1900,0
521,Cordoba,1902,0
522,Cordoba,1906,0
523,Cordoba,1907,0
524,Cordoba,1908,0
525,Cordoba,1909,0
526,Cordoba,1910,0
527,Cordoba,1911,0
528,Cordoba,1912,0
529,Cordoba,1913,0
530,Cordoba,1914,1
531,Cordoba,1915,0
532,Cordoba,1916,1
533,Cordoba,1917,1
534,Cordoba,1918,4
535,Cordoba,1919,203
536,Cordoba,1920,1070
537,Cordoba,1921,1130
538,Cordoba,1922,1148
539,Cordoba,1923,1411
540,Cordoba,1924,1496
541,Cordoba,1925,1724
542,Cordoba,1926,1947
543,Cordoba,1927,2291
544,Cordoba,1928,2740
545,Cordoba,1929,3197
546,Cordoba,1930,3954
547,Cordoba,1931,4375
548,Cordoba,1932,5170
549,Cordoba,1933,5721
550,Cordoba,1934,6483
551,Cordoba,1935,7654
552,Cordoba,1936,8380
553,Cordoba,1937,9344
554,Cordoba,1938,10383
555,Cordoba,1939,11790
556,Cordoba,1940,13265
557,Cordoba,1941,14209
558,Cordoba,1942,15153
559,Cordoba,1943,16760
560,Cordoba,1944,18234
561,Cordoba,1945,20445
562,Cordoba,1946,21098
563,Cordoba,1947,22720
564,Cordoba,1948,24427
565,Cordoba,1949,25889
566,Cordoba,1950,26991
567,Cordoba,1951,28039
568,Cordoba,1952,28205
569,Cordoba,1953,29708
570,Cordoba,1954,30178
571,Cordoba,1955,30780
572,Cordoba,1956,32264
573,Cordoba,1957,32258
574,Cordoba,1958,32979
575,Cordoba,1959,33826
576,Cordoba,1960,35133
577,Cordoba,1961,36842
578,Cordoba,1962,37394
579,Cordoba,1963,37983
580,Cordoba,1964,38279
581,Cordoba,1965,38435
582,Cordoba,1966,37675
583,Cordoba,1967,38596
584,Cordoba,1968,38952
585,Cordoba,1969,41186
586,Cordoba,1970,42637
587,Cordoba,1971,44766
588,Cordoba,1972,44949
589,Cordoba,1973,45912
590,Cordoba,1974,47608
591,Cordoba,1975,50048
592,Cordoba,1976,51080
593,Cordoba,1977,54596
594,Cordoba,1978,56677
595,Cordoba,1979,59199
596,Cordoba,1980,58560
597,Cordoba,1981,58440
598,Cordoba,1982,58328
599,Cordoba,1983,54524
600,Cordoba,1984,53945
601,Cordoba,1985,55601
602,Cordoba,1986,58122
603,Cordoba,1987,56543
604,Cordoba,1988,57221
605,Cordoba,1989,57381
606,Cordoba,1990,60554
607,Cordoba,1991,61977
608,Cordoba,1992,61068
609,Cordoba,1993,59218
610,Cordoba,1994,60684
611,Cordoba,1995,60731
612,Cordoba,1996,61488
613,Cordoba,1997,60213
614,Cordoba,1998,60088
615,Cordoba,1999,59962
616,Cordoba,2000,59879
617,Cordoba,2001,56506
618,Cordoba,2002,57089
619,Cordoba,2003,57358
620,Cordoba,2004,56413
621,Cordoba,2005,52892
622,Cordoba,2006,49311
623,Cordoba,2007,33999
624,Corrientes,1900,0
625,Corrientes,1902,0
626,Corrientes,1906,0
627,Corrientes,1907,0
628,Corrientes,1908,0
629,Corrientes,1909,1
630,Corrientes,1910,0
631,Corrientes,1911,0
632,Corrientes,1912,0
633,Corrientes,1913,2
634,Corrientes,1914,0
635,Corrientes,1915,1
636,Corrientes,1916,0
637,Corrientes,1917,0
638,Corrientes,1918,0
639,Corrientes,1919,108
640,Corrientes,1920,402
641,Corrientes,1921,416
642,Corrientes,1922,470
643,Corrientes,1923,500
644,Corrientes,1924,601
645,Corrientes,1925,600
646,Corrientes,1926,667
647,Corrientes,1927,729
648,Corrientes,1928,866
649,Corrientes,1929,876
650,Corrientes,1930,1107
651,Corrientes,1931,1145
652,Corrientes,1932,1267
653,Corrientes,1933,1425
654,Corrientes,1934,1556
655,Corrientes,1935,1898
656,Corrientes,1936,2125
657,Corrientes,1937,2147
658,Corrientes,1938,2650
659,Corrientes,1939,2715
660,Corrientes,1940,3121
661,Corrientes,1941,3163
662,Corrientes,1942,3574
663,Corrientes,1943,3801
664,Corrientes,1944,4386
665,Corrientes,1945,4830
666,Corrientes,1946,5039
667,Corrientes,1947,5444
668,Corrientes,1948,5821
669,Corrientes,1949,6303
670,Corrientes,1950,6943
671,Corrientes,1951,7456
672,Corrientes,1952,7619
673,Corrientes,1953,7974
674,Corrientes,1954,8656
675,Corrientes,1955,8839
676,Corrientes,1956,9440
677,Corrientes,1957,9529
678,Corrientes,1958,9560
679,Corrientes,1959,9649
680,Corrientes,1960,9932
681,Corrientes,1961,10415
682,Corrientes,1962,10735
683,Corrientes,1963,11072
684,Corrientes,1964,11211
685,Corrientes,1965,11552
686,Corrientes,1966,11331
687,Corrientes,1967,11456
688,Corrientes,1968,11404
689,Corrientes,1969,11723
690,Corrientes,1970,11942
691,Corrientes,1971,12517
692,Corrientes,1972,12790
693,Corrientes,1973,12793
694,Corrientes,1974,13439
695,Corrientes,1975,14123
696,Corrientes,1976,14493
697,Corrientes,1977,15199
698,Corrientes,1978,15817
699,Corrientes,1979,17254
700,Corrientes,1980,17055
701,Corrientes,1981,16901
702,Corrientes,1982,16897
703,Corrientes,1983,16240
704,Corrientes,1984,16003
705,Corrientes,1985,17015
706,Corrientes,1986,17968
707,Corrientes,1987,17745
708,Corrientes,1988,18298
709,Corrientes,1989,18258
710,Corrientes,1990,19539
711,Corrientes,1991,21157
712,Corrientes,1992,20483
713,Corrientes,1993,19985
714,Corrientes,1994,20695
715,Corrientes,1995,20689
716,Corrientes,1996,21196
717,Corrientes,1997,21103
718,Corrientes,1998,21237
719,Corrientes,1999,21321
720,Corrientes,2000,21387
721,Corrientes,2001,19639
722,Corrientes,2002,20609
723,Corrientes,2003,20115
724,Corrientes,2004,20470
725,Corrientes,2005,17906
726,Corrientes,2006,16056
727,Corrientes,2007,11012
728,Entre Rios,1900,0
729,Entre Rios,1902,0
730,Entre Rios,1906,0
731,Entre Rios,1907,1
732,Entre Rios,1908,1
733,Entre Rios,1909,0
734,Entre Rios,1910,1
735,Entre Rios,1911,1
736,Entre Rios,1912,1
737,Entre Rios,1913,1
738,Entre Rios,1914,0
739,Entre Rios,1915,1
740,Entre Rios,1916,0
741,Entre Rios,1917,0
742,Entre Rios,1918,0
743,Entre Rios,1919,55
744,Entre Rios,1920,286
745,Entre Rios,1921,354
746,Entre Rios,1922,336
747,Entre Rios,1923,391
748,Entre Rios,1924,477
749,Entre Rios,1925,564
750,Entre Rios,1926,696
751,Entre Rios,1927,854
752,Entre Rios,1928,985
753,Entre Rios,1929,1168
754,Entre Rios,1930,1515
755,Entre Rios,1931,1730
756,Entre Rios,1932,1919
757,Entre Rios,1933,2137
758,Entre Rios,1934,2404
759,Entre Rios,1935,2816
760,Entre Rios,1936,3133
761,Entre Rios,1937,3314
762,Entre Rios,1938,3926
763,Entre Rios,1939,4419
764,Entre Rios,1940,5029
765,Entre Rios,1941,5034
766,Entre Rios,1942,5476
767,Entre Rios,1943,6017
768,Entre Rios,1944,6595
769,Entre Rios,1945,7055
770,Entre Rios,1946,7248
771,Entre Rios,1947,8100
772,Entre Rios,1948,8630
773,Entre Rios,1949,8954
774,Entre Rios,1950,9632
775,Entre Rios,1951,10001
776,Entre Rios,1952,10186
777,Entre Rios,1953,10691
778,Entre Rios,1954,11239
779,Entre Rios,1955,11460
780,Entre Rios,1956,11941
781,Entre Rios,1957,12048
782,Entre Rios,1958,12003
783,Entre Rios,1959,12629
784,Entre Rios,1960,12571
785,Entre Rios,1961,13334
786,Entre Rios,1962,13657
787,Entre Rios,1963,13997
788,Entre Rios,1964,14257
789,Entre Rios,1965,14263
790,Entre Rios,1966,14395
791,Entre Rios,1967,14213
792,Entre Rios,1968,14110
793,Entre Rios,1969,14668
794,Entre Rios,1970,15396
795,Entre Rios,1971,16230
796,Entre Rios,1972,16826
797,Entre Rios,1973,16841
798,Entre Rios,1974,17361
799,Entre Rios,1975,18139
800,Entre Rios,1976,18390
801,Entre Rios,1977,20043
802,Entre Rios,1978,20472
803,Entre Rios,1979,21350
804,Entre Rios,1980,21068
805,Entre Rios,1981,20877
806,Entre Rios,1982,21179
807,Entre Rios,1983,20189
808,Entre Rios,1984,20418
809,Entre Rios,1985,20800
810,Entre Rios,1986,21619
811,Entre Rios,1987,20814
812,Entre Rios,1988,21481
813,Entre Rios,1989,21597
814,Entre Rios,1990,23003
815,Entre Rios,1991,24158
816,Entre Rios,1992,22923
817,Entre Rios,1993,22700
818,Entre Rios,1994,22987
819,Entre Rios,1995,23067
820,Entre Rios,1996,23418
821,Entre Rios,1997,23966
822,Entre Rios,1998,23610
823,Entre Rios,1999,23382
824,Entre Rios,2000,24099
825,Entre Rios,2001,22138
826,Entre Rios,2002,22591
827,Entre Rios,2003,22950
828,Entre Rios,2004,22282
829,Entre Rios,2005,20520
830,Entre Rios,2006,18648
831,Entre Rios,2007,13008
832,Formosa,1900,0
833,Formosa,1902,0
834,Formosa,1906,0
835,Formosa,1907,0
