,Agrupación Política,Lista,Distrito,Precandidato,Género
2998,FRENTE DE IZQUIERDA Y DE TRABAJADORES – UNIDAD,A UNIR Y FORTALECER LA IZQUIERDA ,MENDOZA,LAURA GABRIELA ESPECHE,Femenino
3009,FRENTE DE IZQUIERDA Y DE TRABAJADORES – UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,MENDOZA,MARTIN RODRIGUEZ,Masculino
3020,LA LIBERTAD AVANZA,A LA LIBERTAD MENDOZA,MENDOZA,MARIA MERCEDES LLANO,Femenino
3031,MOVIMIENTO AL SOCIALISMO (MAS),IZQUIERDA ANTICAPITALISTA,MENDOZA,LIS LEILA LOPEZ,Femenino
3042,MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,MENDOZA,ADRIAN BONADA,Masculino
3053,UNION POR LA PATRIA,A CELESTE Y BLANCA,MENDOZA,MARTIN AVEIRO,Masculino
3064,FRENTE RENOVADOR DE LA CONCORDIA-INNOVACION FEDERAL MNES,"ROJA, AZUL Y BLANCA",MISIONES,"""""COLO"""" VANCSIK DANIEL A.",Masculino
3078,FUERZA LIBERAL MNES,LIBERTAD VIVA,MISIONES,RATIER BERRONDO JORGE U.,Masculino
3092,JUNTOS POR EL CAMBIO MNES,EL CAMBIO DE NUESTRAS VIDAS,MISIONES,ALFREDO O. SCHIAVONI,Masculino
3106,JUNTOS POR EL CAMBIO MNES,LA FUERZA DEL CAMBIO,MISIONES,R. EMMANUEL BIANCHETTI,Masculino
3120,PARTIDO AGRARIO Y SOCIAL MNES,POR LA GENTE  LETRA P,MISIONES,"""""CACHO"""" HECTOR O. BARBARO",Masculino
3137,PARTIDO DEL OBRERO,UNIDAD DE TRABAJADORES Y LA IZQUIERDA,MISIONES,"ANIBAL """"TATO"""" ZERETZKI",Masculino
3148,UNION POPULAR FEDERAL MNES,HACEMOS UNIDOS,MISIONES,ABEL MOTTE,Masculino
3162,ARRIBA NEUQUEN,A,NEUQUÉN,NADIA JUDITH MARQUEZ,Femenino
3169,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,UNIDAD DE LUCHADORES Y LA IZQUIERDA,NEUQUÉN,PATRICIA  JURE,Femenino
3176,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,UNIR Y FORTALECER LA IZQUIERDA,NEUQUÉN,ANGELICA LAGUNAS,Femenino
3183,JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,NEUQUÉN,LETICIA INES ESTEVES,Femenino
3190,JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,NEUQUÉN,FRANCISCO SANCHEZ,Masculino
3197,LIBRES Y SOCIALISTAS,OJALA LA TIERRA,NEUQUÉN,GLADYS ABALLAY,Femenino
3204,MOVIMIENTO POPULAR NEUQUINO,LETRA A   NEUQUEN PAIS,NEUQUÉN,SANDRO BADILLA,Masculino
3211,MOVIMIENTO POPULAR NEUQUINO,UNIDOS POR NEUQUEN,NEUQUÉN,HUGO VICTOR RAUQUE,Masculino
3218,UNIÓN POR LA PATRIA,CELESTE Y BLANCA N°2,NEUQUÉN,PABLO TODERO,Masculino
3225,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A UNIR Y FORTALECER LA IZQUIERDA,RIO NEGRO,ALHUE GAVUZZO,Femenino
3234,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,RIO NEGRO,NORMA ALICIA GONZALEZ DARDIK,Femenino
3243,JUNTOS POR EL CAMBIO,B LA FUERZA DEL CAMBIO,RIO NEGRO,SERGIO EDUARDO CAPOZZI,Masculino
3252,JUNTOS POR EL CAMBIO,C EL CAMBIO DE NUESTRAS VIDAS,RIO NEGRO,ROBERTO BRUSA,Masculino
3261,JUNTOS SOMOS RIO NEGRO,SIGAMOS CRECIENDO,RIO NEGRO,LUIS DI GIACOMO,Masculino
3270,MOVIMIENTO AL SOCIALISMO,A IZQUIERDA ANTICAPITALISTA,RIO NEGRO,AURELIO MANUEL VAZQUEZ,Masculino
3279,PARTIDO FE,A CON FE,RIO NEGRO,MARIA LORENA VILLAVERDE,Femenino
3288,UNION POR LA PATRIA,A AZUL CELESTE Y BLANCA UNIDAD,RIO NEGRO,MARTIN IGNACIO SORIA,Masculino
3297,AHORA PATRIA,AHORA LIBERTAD A,SALTA,MARIA EMILIA OROZCO,Femenino
3307,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A UNIR Y FORTALECER LA IZQUIERDA ,SALTA,DANIELA BEATRIZ PLANES SAIZ,Femenino
3317,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,SALTA,ANDREA VILLEGAS,Femenino
3327,JUNTOS POR EL CAMBIO,CAMBIO RADICAL   D,SALTA,BERNARDO SOLA,Masculino
3337,JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS   B,SALTA,INES LIENDO,Femenino
3347,JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO   A,SALTA,MIGUEL NANNI,Masculino
3357,JUNTOS POR EL CAMBIO,PARA RENOVAR SALTA   C,SALTA,OSCAR NORMANDO ROCHA ALFARO,Masculino
3367,MOVIMIENTO AL SOCIALISMO,A IZQUIERDA ANTICAPITALISTA,SALTA,MARCOS TOGNOLINI,Masculino
3377,MOVIMIENTO LIBRES DEL SUR,40 AZUL Y ROJO   A,SALTA,IGNACIO DANIEL PALARIK,Masculino
3387,PARTIDO AUTONOMISTA,HACEMOS UNIDOS POR SALTA A,SALTA,NICOLAS ZENTENO NUÑEZ,Masculino
3397,POLITICA OBRERA,UNIDAD OBRERA A,SALTA,VIOLETA GIL,Femenino
3407,SI-SALTA INDEPENDIENTE,A   POR UNA SALTA INDEPENDIENTE,SALTA,FELIPE BIELLA,Masculino
3417,UNION POR LA PATRIA,UNION PARA LA VICTORIA K,SALTA,JESUS RAMON VILLA,Masculino
3427,UNION POR LA PATRIA,UNION POR LA FELICIDAD DE SALTA C,SALTA,MARIA ANGELICA MARTINEZ MORALES MIY,Femenino
3437,UNION POR LA PATRIA,UNION POR SALTA A,SALTA,PABLO ISMAEL OUTES,Masculino
3447,ALIANZA JUNTOS POR EL CAMBIO,CAMBIA SAN JUAN,SAN JUAN,NANCY VIVIANA PICON MARTINEZ,Femenino
3460,ALIANZA JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,SAN JUAN,MARIA EUGENIA DEL VALLE RAVERTA CASTRO,Femenino
3473,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1A UNIR Y FORTALECER LA IZQUIERDA,SAN JUAN,GLORIA GRACIELA CIMINO,Femenino
3486,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,SAN JUAN,CRISTIAN ROBERTO JURADO,Masculino
3499,FRENTE UNIÓN POR LA PATRIA - SAN JUAN,SAN JUAN VUELVE,SAN JUAN,JORGE FACUNDO PERRONE BODE,Masculino
3512,FRENTE UNIÓN POR LA PATRIA - SAN JUAN,VAMOS SAN JUAN,SAN JUAN,JORGE EDUARDO CHICA MUÑOZ,Masculino
3525,LA LIBERTAD AVANZA,IDEAS DE LA LIBERTAD,SAN JUAN,JOSE ASAD PELUC,Masculino
3538,PARTIDO CRUZADA RENOVADORA,BLANCA UNIDAD,SAN JUAN,JOSE ALEJANDRO GOMEZ,Masculino
3551,PARTIDO MOVIMIENTO LIBRES DEL SUR - SIGLA L.D.S.,AZUL Y ROJO,SAN JUAN,RICARDO JESUS OJEDA,Masculino
3564,PARTIDO POPULAR,PRINCIPIO Y VALORES,SAN JUAN,BRAIAN ALEXIS MANRIQUE,Masculino
3577,PARTIDO SOCIALISTA,HACEMOS UNIDOS POR SAN JUAN,SAN JUAN,JORGE SEBASTIAN PELAYES NARVAEZ,Masculino
3590,ALIANZA FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD  SAN LUIS,1B UNIDAD DE LUCHADORES Y LA IZQUIERDA,SAN LUIS,RAMON OLGUIN,Masculino
3601,ALIANZA FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD  SAN LUIS,UNIR Y FORTALECER LA IZQUIERDA (1A),SAN LUIS,ELEONORA DE PANIS,Femenino
3612,ALIANZA LA LIBERTAD AVANZA SAN LUIS,DOGMA LIBERTARIO,SAN LUIS,CARLOS ALBERTO GONZALEZ D ALESSANDRO,Masculino
3623,JUNTOS POR EL CAMBIO  SAN LUIS,EL CAMBIO DE NUESTRAS VIDAS,SAN LUIS,ALEJANDRO CACACE,Masculino
3634,JUNTOS POR EL CAMBIO  SAN LUIS,LA FUERZA DEL CAMBIO,SAN LUIS,CARLOS ALBERTO ALMENA,Masculino
3645,MOVIMIENTO AL SOCIALISMO SAN LUIS,IZQUIERDA ANTICAPITALISTA,SAN LUIS,ITALO ALBERTO GALLARDO MUÑOZ,Masculino
3656,MOVIMIENTO LIBRES DEL SUR SAN LUIS,AZUL Y ROJO,SAN LUIS,AILEN ANTONELLA CHAINE,Femenino
3667,PARTIDO DEMOCRATA SAN LUIS,DEMOCRATAS POR LA LIBERTAD,SAN LUIS,FEDERICO QUIROGA,Masculino
3678,PARTIDO UNION Y LIBERTAD SAN LUIS,L1,SAN LUIS,ANICETO MARCOS CUELLO,Masculino
3689,UNION POR SAN LUIS,CELESTE UNIDAD,SAN LUIS,ERNESTO NADER ALI,Masculino
3700,AGRUPACION MOVIMIENTO AL SOCIALISMO,IZQUIERDA ANTICAPITALISTA,SANTA CRUZ,WALTER SANCHEZ,Masculino
3711,ALIANZA CAMBIA SANTA CRUZ,EL CAMBIO DE NUESTRAS VIDAS,SANTA CRUZ,LEO ROQUEL,Masculino
3722,ALIANZA CAMBIA SANTA CRUZ,SUMAMOS FUERZAS EN SANTA CRUZ,SANTA CRUZ,OMAR FARUK ZEIDAN,Masculino
3736,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES-UNIDAD,1A UNIDAD DE LUCHADORES Y LA IZQUIERDA,SANTA CRUZ,NICOLAS  GUTIERREZ,Masculino
3747,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES-UNIDAD,1A UNIR Y FORTALECER LA IZQUIERDA,SANTA CRUZ,ADRIANA ESTHER ASTOLFO,Femenino
3755,ALIANZA POR SANTA CRUZ,HACER SANTA CRUZ,SANTA CRUZ,JOSE LUIS GARRIDO,Masculino
3766,ALIANZA UNION POR LA PATRIA,ACUERDO SANTACRUCEÑO,SANTA CRUZ,ANA MARIA IANNI,Femenino
3777,ALIANZA UNION POR LA PATRIA,CONSTRUYAMOS JUNTOS,SANTA CRUZ,SILVINA DEL VALLE CORDOBA,Femenino
3784,ALIANZA FRENTE AMPLIO POR LA SOBERANIA,A   SOBERANíA POPULAR,SANTA FE,EDUARDO ALFREDO DI POLLINA,Masculino
3800,ALIANZA FRENTE DE IZQUIERDA Y TRABAJADORES- UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA ,SANTA FE,CARLA DEIANA,Femenino
3819,ALIANZA FRENTE DE IZQUIERDA Y TRABAJADORES- UNIDAD,UNIR Y FORTALECER LA IZQUIERDA A,SANTA FE,OCTAVIO CRIVARO,Masculino
3838,ALIANZA JUNTOS POR EL CAMBIO,A. EL CAMBIO DE NUESTRAS VIDAS,SANTA FE,JUAN CRUZ CANDIDO,Masculino
3857,ALIANZA JUNTOS POR EL CAMBIO,B. LA FUERZA DEL CAMBIO,SANTA FE,JOSE NEGRO NUÑEZ,Masculino
3876,ALIANZA LA FUERZA DE SANTA FE,PARTICIPACION Y SOLIDARIDAD  LETRA A,SANTA FE,ESTEBAN PAULON,Masculino
3895,ALIANZA LA LIBERTAD AVANZA,LISTA A: LIBERTAD POR SIEMPRE,SANTA FE,ROMINA DIEZ,Femenino
3914,ALIANZA NUEVO RUMBO,1A   VECINOS CON RUMBO,SANTA FE,BLANCA AURORA DUARTE,Femenino
3933,ALIANZA NUEVO RUMBO,2B   POR LOS VALORES,SANTA FE,ESTEBAN DANIEL MORALES,Masculino
3951,ALIANZA NUEVO RUMBO,3C   RECREO SOCIAL,SANTA FE,RAMON JOSÉ VILLAN,Masculino
3970,ALIANZA UNION POR LA PATRIA,A  CELESTE Y BLANCA,SANTA FE,GERMAN PEDRO MARTINEZ,Masculino
3989,ENCUENTRO REPUBLICANO FEDERAL,A   DEMOS,SANTA FE,SILVIO EXEQUIEL ALFIERI RAFFO,Masculino
4008,ENCUENTRO REPUBLICANO FEDERAL,B   MODERADO,SANTA FE,WALTER JESUS EIGUREN,Masculino
4027,ENCUENTRO REPUBLICANO FEDERAL,C   REPUBLICANO POPULAR,SANTA FE,ELINA MARICEL FERNANDEZ,Femenino
4046,LEALTAD Y DIGNIDAD,A SANTA FE PRIMERO,SANTA FE,ESTEBAN MATEO BOGDANICH,Masculino
4065,LEALTAD Y DIGNIDAD,B PRODUCCION Y JUSTICIA SOCIAL,SANTA FE,ROMAN FELLIPPELLI,Masculino
4084,LEALTAD Y DIGNIDAD,C LA NUEVA SANTA FE,SANTA FE,MAURICIO RENE BODE,Masculino
4103,LEALTAD Y DIGNIDAD,D CREZCAMOS POR SANTA FE,SANTA FE,OSCAR RUBEN CIMINO,Masculino
4122,LEALTAD Y DIGNIDAD,E RECUPERANDO NUESTRA CULTURA,SANTA FE,VICTOR HUGO GAUNA,Masculino
4141,LEALTAD Y DIGNIDAD,F UNIDAD SANTAFESINA,SANTA FE,FRANCISCO TELMO CARNAVALE,Masculino
4160,LEALTAD Y DIGNIDAD,G POR LOS PRINCIPIOS SOCIALES,SANTA FE,BERNARDO JOSE ARMANDO GOMEZ,Masculino
4179,MOVIMIENTO INDEPENDIENTE RENOVADOR,1 A   DESARROLLO AGRO INDUSTRIAL,SANTA FE,MARA ELISABET FERRARI,Femenino
4201,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,1A SANTA FE SEGURA,SANTA FE,MARCELA ELISABET DOMINGUEZ,Femenino
4217,MOVIMIENTO LIBRES DEL SUR,A. AZUL Y ROJO,SANTA FE,"GABRIELA """"NEGRA"""" SOSA",Femenino
4239,PARTIDO AUTONOMISTA,1A  AUTONOMISTA EN MARCHA,SANTA FE,NICOLAS RUBEN ROSSETTON,Masculino
4256,PARTIDO AUTONOMISTA,2B  DIGNIDAD ANIMAL,SANTA FE,MAXIMILIANO MORILLA,Masculino
4275,PARTIDO AUTONOMISTA,3C  RENACER,SANTA FE,GASTON ADOLFO SEBAST SGUAZZINI,Masculino
4291,PARTIDO AUTONOMISTA,4D  FUTURO MEJOR,SANTA FE,YANINA PAOLA SAUCEDO,Femenino
4309,PARTIDO FE,1A   SIEMPRE CON FE,SANTA FE,JUAN ATILIO FLAHERTY,Masculino
4328,PARTIDO FE,2B   VAMOS CON FE,SANTA FE,PAMELA IVANA PERINO,Femenino
4350,PARTIDO FE,3C  NUEVO HORIZONTE,SANTA FE,EMILIANO GABRIEL FRANCO,Masculino
4366,POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,LISTA A CON LOS MISMOS NO,SANTA FE,MARIO ATILIO DESCHI,Masculino
4385,POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,LISTA B PRIMERO SANTA FE,SANTA FE,LORENA PAOLA ARAMBURU,Femenino
4404,PROYECTO JOVEN,A   PATRIA UNIDA,SANTA FE,HUGO EMILIO CAPACIO,Masculino
4423,PROYECTO JOVEN,B   FRENTE JOVEN,SANTA FE,MARTIN AUGUSTO BISIO,Masculino
4442,PROYECTO JOVEN,C   PATRIA Y FUTURO,SANTA FE,FLORENTINO RAMON RAMIREZ,Masculino
4461,ENCUENTRO REPUBLICANO FEDERAL,DESPIERTA SANTIAGO,SANTIAGO DEL ESTERO,CLAUDIO NAZARENO DE JESUS MARTURET,Masculino
4471,ENCUENTRO REPUBLICANO FEDERAL,MOVIMIENTO VIABLE,SANTIAGO DEL ESTERO,HECTOR EDUARDO RUIZ,Masculino
4481,FRENTE CIVICO POR SANTIAGO,TODOS POR SANTIAGO,SANTIAGO DEL ESTERO,RICARDO DANIEL DAIVES,Masculino
4491,FRENTE PATRIOTA FEDERAL,PATRIOTAS,SANTIAGO DEL ESTERO,ANDRES FERNANDO NUÑEZ,Masculino
4501,FRENTE RENOVADOR,HAY ALTERNATIVA,SANTIAGO DEL ESTERO,PABLO GUILLERMO MIROLO,Masculino
4511,JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,SANTIAGO DEL ESTERO,NATALIA GABRIELA NEME,Femenino
4521,MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,SANTIAGO DEL ESTERO,JOSE FERNANDO DANIEL GIMENEZ,Masculino
4531,NUEVA IZQUIERDA,A UNIDAD DE LUCHADORES Y LA IZQUIERDA,SANTIAGO DEL ESTERO,CLAUDIA ROXANA TREJO,Femenino
4541,PARTIDO AUTONOMISTA,A 9 DE JULIO,SANTIAGO DEL ESTERO,FABIO GUSTAVO CISNEROS,Masculino
4551,PARTIDO AUTONOMISTA,B SANTIAGO LO MERECE,SANTIAGO DEL ESTERO,SILVIA ALEJANDRA ABEIRO SUAREZ,Femenino
4561,PARTIDO AUTONOMISTA,C SANTIAGO AUTONOMISTA,SANTIAGO DEL ESTERO,MARIA CELESTE GOMEZ,Femenino
4571,PARTIDO AUTONOMISTA,D PATRIA GRANDE,SANTIAGO DEL ESTERO,ANGEL ANTONIO ROJO,Masculino
4581,PARTIDO LABORISTA,LIBERTAD Y TRABAJO,SANTIAGO DEL ESTERO,NORALI DEL VALLE SOSA,Femenino
4591,PARTIDO UNION CELESTE Y BLANCO,LA LIBERTAD AVANZA,SANTIAGO DEL ESTERO,NORMA BEATRIZ LUJAN,Femenino
4601,POLITICA OBRERA,UNIDAD OBRERA,SANTIAGO DEL ESTERO,NORMA VALERIA MORALES,Femenino
4611,PRINCIPIOS Y VALORES,A VOCES LIBERTARIAS SDE,SANTIAGO DEL ESTERO,JOSE MARIA ROBLEDO,Masculino
4619,PRINCIPIOS Y VALORES,C POR LOS VALORES,SANTIAGO DEL ESTERO,NELSON AUGUSTO CORONEL,Masculino
4626,PROYECTO JOVEN,JOVENES EN ACCION,SANTIAGO DEL ESTERO,MANUEL ALEJANDRO HERRERA,Masculino
4636,TRES BANDERAS,INDEPENDENCIA,SANTIAGO DEL ESTERO,WALTER ROLANDO HERRERA,Masculino
4646,TRES BANDERAS,POR LA JUSTICIA,SANTIAGO DEL ESTERO,CRISTIAN ALEJANDRO GONZALEZ,Masculino
4656,TRES BANDERAS,SOBERANIA,SANTIAGO DEL ESTERO,MIGUEL ANGEL CANTOS MAURELLI,Masculino
4666,ALIANZA FRENTE DE IZQUIERDA DE TRABAJADORES - UNIDAD,UNIDAD DE LUCHADORES Y LA IZQUIERDA,TIERRA DEL FUEGO,LUCIA ZULMA FERNANDEZ,Femenino
4675,ALIANZA FRENTE DE IZQUIERDA DE TRABAJADORES - UNIDAD,UNIR Y FORTALECER LA IZQUIERDA 1 A,TIERRA DEL FUEGO,MARIA MEZA,Femenino
4684,ALIANZA HACEMOS POR NUESTRO PAÍS,HACEMOS,TIERRA DEL FUEGO,FEDERICO RICARDO BILOTA IVANDIC,Masculino
4693,ALIANZA JUNTOS POR EL CAMBIO TDF,EL CAMBIO DE NUESTRAS VIDAS,TIERRA DEL FUEGO,OSCAR HUGO RUBINOS,Masculino
4702,ALIANZA JUNTOS POR EL CAMBIO TDF,LA FUERZA DEL CAMBIO,TIERRA DEL FUEGO,FEDERICO FRIGERIO,Masculino
4711,ALIANZA UNIÓN POR LA PATRIA,LISTA CELESTE Y BLANCA,TIERRA DEL FUEGO,ANDREA GRACIELA FREITES,Femenino
4720,MOVIMIENTO AL SOCIALISMO,IZQUIERDA ANTICAPITALISTA,TIERRA DEL FUEGO,MATIAS RISSO,Masculino
4729,REPUBLICANOS UNIDOS,FUEGUINOS,TIERRA DEL FUEGO,JORGE SANTIAGO PAULI,Masculino
4738,SOMOS FUEGUINOS,167 A PRIMERO TIERRA DEL FUEGO,TIERRA DEL FUEGO,CHISPITA FADUL,Femenino
4744,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A UNIR Y FORTALECER LA IZQUIERDA,TUCUMÁN,ALEJANDRA ARREGUEZ,Femenino
4755,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,TUCUMÁN,JOSE MARTIN CORREA TEJERIZO,Masculino
4766,FRENTE UNION POR LA PATRIA,CELESTE Y BLANCA,TUCUMÁN,PABLO YEDLIN,Masculino
4777,FUERZA REPUBLICANA,CELESTE Y BLANCA,TUCUMÁN,RICARDO ARGENTINO BUSSI,Masculino
4788,JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,TUCUMÁN,GERMAN ENRIQUE ALFARO,Masculino
4799,JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,TUCUMÁN,MARIANO CAMPERO,Masculino
4810,MOVIMIENTO LIBRES DEL SUR,PRIMERO TUCUMAN,TUCUMÁN,FEDERICO AUGUSTO MASSO,Masculino
4821,POLITICA OBRERA,UNIDAD OBRERA,TUCUMÁN,MARGARITA RAQUEL GRASSINO,Femenino
