Agrupación Política,Lista,Distrito,Cargo,Subcategoría Cargo,Posición,Precandidato,Género,Edad
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,LUIS IGNACIO ASTORGA,M,39
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,ANTONIA SOTELO,F,55
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,GONZALO MARTIN ISASMENDI,M,32
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,MARIA ANGELICA GALVEZ,F,59
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,ALFREDO ANTONIO TOJO,M,67
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,MAIRA GUADALUPE FERNANDEZ,F,36
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,CRISTIAN MARIO BIASOLI,M,44
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,HORACIO RAUL GHINAUDO,M,73
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,MONICA ALEJANDRA CURIMA,F,46
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,MARCOS MARTÍN BONABELLO,M,47
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,PATRICIA S GARDELLA,F,59
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,OSCAR ROBERTO PETTINATO,M,73
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,MARIANA LAURA QUIROGA,F,47
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,MIGUEL ALFREDO TOLOSA,M,64
FRENTE DE IZQUIERDA Y DE TRABAJADORES,A UNIR Y FORTALECER LA IZQUIERDA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,GRACIELA BEATRIZ CALDERON,F,61
FRENTE DE IZQUIERDA Y DE TRABAJADORES,A UNIR Y FORTALECER LA IZQUIERDA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,DARIO JAVIER HERMOSILLA,M,46
FRENTE DE IZQUIERDA Y DE TRABAJADORES,A UNIR Y FORTALECER LA IZQUIERDA,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,MARCELA ALEJANDRA ACOSTA,F,47
FRENTE DE IZQUIERDA Y DE TRABAJADORES,A UNIR Y FORTALECER LA IZQUIERDA,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,JORGE SANTIAGO BOBBIESI,M,47
FRENTE DE IZQUIERDA Y DE TRABAJADORES,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,ROMINA DEL PLA,F,51
FRENTE DE IZQUIERDA Y DE TRABAJADORES,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,NAHUEL  ORELLANA,M,33
FRENTE DE IZQUIERDA Y DE TRABAJADORES,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,YAMILE ALMEIDA,F,50
FRENTE DE IZQUIERDA Y DE TRABAJADORES,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,MIGUEL BRAVETTI,M,59
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,ACCION Y SOLIDARIDAD,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,SILVANA RAQUEL CILISQUI,F,44
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,ACCION Y SOLIDARIDAD,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,LUCAS NAHUEL SALAZAR,M,31
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,ACCION Y SOLIDARIDAD,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,CLAUDIA NATALIA BORDA,F,43
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,ACCION Y SOLIDARIDAD,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,CARLOS ALBERTO TERESIN MOLINA,M,38
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,SERVIR,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,ANDREA VANESA URREJOLA,F,36
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,SERVIR,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,DANIEL MIGUEL PALACIO,M,44
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,SERVIR,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,CELIA ESTHER ORUE,F,43
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,SERVIR,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,LUIS OSVALDO MALHEIRO,M,52
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,SOLIDARIOS,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,ARCELIA RAMIREZ,F,54
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,SOLIDARIOS,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,RICARDO LUCIANO PAEZ,M,57
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,SOLIDARIOS,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,MIRIAM ESTELA ROMERO,F,55
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,SOLIDARIOS,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,CARLOS ALBERTO DIARTE,M,40
FRENTE PATRIOTA FEDERAL,PRIMERO LA PATRIA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,LEONARDO RENATO RAMON BARIANI,M,74
FRENTE PATRIOTA FEDERAL,PRIMERO LA PATRIA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,MARIA VICTORIA ARREDONDO,F,37
FRENTE PATRIOTA FEDERAL,PRIMERO LA PATRIA,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,OSCAR VICTORIO SARANZOTTI,M,70
FRENTE PATRIOTA FEDERAL,PRIMERO LA PATRIA,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,ROBERTA ROMINA AGUIRRE,F,43
HACEMOS POR NUESTRO PAIS,HACEMOS,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,ROCIO SOLEDAD GIACCONE,F,42
HACEMOS POR NUESTRO PAIS,HACEMOS,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,MARTIN EDUARDO PALMA BASTIDAS,M,42
HACEMOS POR NUESTRO PAIS,HACEMOS,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,GRACIELA NORA REGO,F,69
HACEMOS POR NUESTRO PAIS,HACEMOS,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,ROBERTO HECTOR VILLA,M,70
JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,JOSÉ LUIS ESPERT,M,62
JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,CYNTHIA LILIANA HOTTON,F,54
JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,BRUNO GUIDO SCRENCI SILVA,M,53
JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,ROSALIA DE LOS ANGELES FUCELLO,F,44
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,MAXIMILIANO ABAD,M,46
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,MARIA EUGENIA TALERICO,F,52
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,PABLO HECTOR WALTER,M,56
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,MARIA DE LUJAN GUARDO,F,52
JUSTICIA Y DIGNIDAD PATRIOTICA,P.A.S.E,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,LUIS ALFREDO FERNANDEZ,M,55
JUSTICIA Y DIGNIDAD PATRIOTICA,P.A.S.E,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,ANA CATALINA CRISPENS,F,58
JUSTICIA Y DIGNIDAD PATRIOTICA,P.A.S.E,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,JOSE ANTONIO PAREDES,M,62
JUSTICIA Y DIGNIDAD PATRIOTICA,P.A.S.E,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,RAMONA BEATRIZ JEREZ,F,65
LA LIBERTAD AVANZA,LIBERTAD POR SIEMPRE,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,JUAN IGNACIO NAPOLI,M,53
LA LIBERTAD AVANZA,LIBERTAD POR SIEMPRE,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,GLADYS NOEMI HUMENUK,F,50
LA LIBERTAD AVANZA,LIBERTAD POR SIEMPRE,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,ALVARO GARCIA,M,44
LA LIBERTAD AVANZA,LIBERTAD POR SIEMPRE,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,CAMILA BECERRA,F,37
MOVIMIENTO AVANZADA SOCIALISTA,IZQUIERDA ANTICAPITALISTA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,LUIS MARIO DI BARTOLO,M,50
MOVIMIENTO AVANZADA SOCIALISTA,IZQUIERDA ANTICAPITALISTA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,MARIA LAURA GRANILLO,F,37
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,CONFEDERAL,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,CLAUDIO MARCELO MORGADO,M,64
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,CONFEDERAL,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,CHRISTIAN ANDRES NAON,M,45
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,CONFEDERAL,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,KARINA ANDREA CASCO,F,41
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LINEA A DIGNIDAD,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,NINA PELOZO,F,62
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LINEA A DIGNIDAD,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,ALEJANDRO DARIO YBARRA,M,39
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LINEA A DIGNIDAD,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,MARIA SOLEDAD GÓMEZ,F,32
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LINEA A DIGNIDAD,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,CARLOS FERNANDEZ,M,58
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,HUMBERTO MIGUEL TUMINI,M,74
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,LAURA INES LONATTI,F,59
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,FRANCO ARDUSSO,M,30
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,ROSANA GOMEZ,F,41
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,JUAN CARLOS NEVES,M,75
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,MARIA ISABEL COSTA MENDES,F,51
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,LUIS ALBERTO REY,M,57
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,ROSA JUANA MONTESINO DIAZ,F,74
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,MARIA ALICIA ARCE,F,44
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,HUGO MIGUEL SAN MARTIN,M,50
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,FLAVIA GABRIELA GOROSITO,F,41
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,HECTOR DANIEL GONZALEZ,M,35
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,ZULMA ISABEL VALENZUELA,F,51
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,JORGE NATALIO LEON,M,55
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,ANGELA BEATRIZ CISNEROS,F,49
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,LUCAS ALEJANDRO ROBLES,M,31
PARTIDO LABORISTA,REFUNDACION,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,RAMONA SOLEDAD IBARRA,F,38
PARTIDO LABORISTA,REFUNDACION,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,LEONARDO JAVIER CRUCIANELLI,M,47
PARTIDO LABORISTA,REFUNDACION,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,TAMARA NOEMI HOLLOMBACH,F,32
PARTIDO LABORISTA,REFUNDACION,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,MATIAS GABRIEL ORTELLADO,M,32
PARTIDO LABORISTA,VOLVER A LAS FUENTES,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,LUIS CARLOS DEL ROSARIO RAMIREZ,M,60
PARTIDO LABORISTA,VOLVER A LAS FUENTES,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,VIVIANA BEATRIZ LOPEZ,F,32
PARTIDO LABORISTA,VOLVER A LAS FUENTES,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,UBALDO MUÑOZ,M,67
PARTIDO LABORISTA,VOLVER A LAS FUENTES,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,NATALIA PAMELA PATEL,F,34
PARTIDO LIBERTARIO,LIBERTARIOS,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,SILVIA BEATRIZ GARCIA,F,58
PARTIDO LIBERTARIO,LIBERTARIOS,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,GUILLERMO AMERICO AGUIRRE,M,36
PARTIDO LIBERTARIO,LIBERTARIOS,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,CLARA LUJAN CARBONE PAZ,F,56
PARTIDO LIBERTARIO,LIBERTARIOS,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,RODRIGO SEBASTIAN MEDRANO,M,32
PARTIDO MOVIMIENTO ORGANIZACION DEMOCRATICA (MODE),UNIDAD,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,FERNANDO JORGE DI FILIPPO,M,70
PARTIDO MOVIMIENTO ORGANIZACION DEMOCRATICA (MODE),UNIDAD,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,AGUSTINA YOLANDA VALDEZ,F,77
PARTIDO PRINCIPIOS Y VALORES,FUERZA FEDERAL,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,ROBERTO EDUARDO DAMBORIANA,M,71
PARTIDO PRINCIPIOS Y VALORES,FUERZA FEDERAL,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,VERONICA ALEJANDRA DEOTO,F,48
PARTIDO PRINCIPIOS Y VALORES,FUERZA FEDERAL,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,CRISTIAN GABRIEL CONTURIER,M,49
PARTIDO PRINCIPIOS Y VALORES,FUERZA FEDERAL,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,LUCIA FLORENCIA MIÑO,F,36
PARTIDO PRINCIPIOS Y VALORES,TIERRA TECHO Y TRABAJO,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,ANDREA NATALIA MELO,F,37
PARTIDO PRINCIPIOS Y VALORES,TIERRA TECHO Y TRABAJO,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,CARLOS ANTONIO DUARTE,M,70
PARTIDO PRINCIPIOS Y VALORES,TIERRA TECHO Y TRABAJO,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,KARINA GISELA GELVES,F,35
PARTIDO PRINCIPIOS Y VALORES,TIERRA TECHO Y TRABAJO,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,ADRIÁN POSE,M,49
PARTIDO UNIDAD SOCIAL (PUS),UNIDOS,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,CLAUDIO SERGIO MILILLO,M,53
PARTIDO UNIDAD SOCIAL (PUS),UNIDOS,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,MERCEDES BEATRIZ DIAZ,F,49
PARTIDO UNIDAD SOCIAL (PUS),UNIDOS,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,ALEJANDRO ROBERTO SALINAS,M,60
PARTIDO UNIDAD SOCIAL (PUS),UNIDOS,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,TAMARA SOLEDAD MONTES,F,33
PARTIDO VOCACION SOCIAL,VALORES Y SOLIDARIDAD,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,NAHUEL BECHARA ARCURI,M,30
PARTIDO VOCACION SOCIAL,VALORES Y SOLIDARIDAD,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,MARÍA EUGENIA CORONEL DIAZ,F,44
PARTIDO VOCACION SOCIAL,VALORES Y SOLIDARIDAD,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,MARCELO LUIS ADORNO,M,57
PARTIDO VOCACION SOCIAL,VALORES Y SOLIDARIDAD,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,ANALIA CLAUDIA COLOMBO,F,54
POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,AZUL UNICA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,LUIS PABLO NARVAJA,M,68
POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,AZUL UNICA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,MARÍA BELÉN DI PASQUALE,F,37
POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,AZUL UNICA,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,NESTOR ANDRES DI PASQUALE,M,33
POLITICA OBRERA,UNIDAD OBRERA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,MANUEL IGNACIO QUIROGA,M,45
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA SOBERANIA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,RODOLFO PABLO TREBER,M,35
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA SOBERANIA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,JACQUELINE CORDO,F,35
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA SOBERANIA,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,ROBERTO CARLOS SINGH,M,50
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA SOBERANIA,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,LORENA INES BARRERA,F,46
PROYECTO JOVEN,FRENTE JOVEN,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,CARLOS ALBERTO TOBAR,M,49
PROYECTO JOVEN,FRENTE JOVEN,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,DIANA YAMINA DIAZ,F,44
PROYECTO JOVEN,FRENTE JOVEN,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,EMMANUEL BARROS,M,32
PROYECTO JOVEN,FRENTE JOVEN,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,EDITH LILIANA PAREDES,F,63
PROYECTO JOVEN,PATRIA UNIDA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,PABLO HERNAN ARGÜELLO,M,44
PROYECTO JOVEN,PATRIA UNIDA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,GRACIELA SUSANA ROCHA,F,42
PROYECTO JOVEN,PATRIA UNIDA,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,JORGE GABRIEL CASARES,M,69
