,Lista,Candidatos,Votos,perc_interna,percAbs,Name,Partido
470,A- AZUL Y ROJO,ESCOBAR-LEZAMA HID,2769,100.0,0.97,San Luis,MOVIMIENTO LIBRES DEL SUR
471,B- CONFEDERAL,CÚNEO-BARRANCO,666,52.68,0.23,San Luis,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
472,A- DIGNIDAD,CASTELLS-REINOSO,598,47.31,0.21,San Luis,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
473,"1A- TIERRA, TECHO  Y TRABAJO",MORENO-FABRE,1189,96.9,0.41,San Luis,PRINCIPIOS Y VALORES
474,3C- TRES BANDERAS,OLIVER-SAN MARTIN,14,1.14,0.01,San Luis,PRINCIPIOS Y VALORES
475,4D- GENTE DE TRABAJO,BARTOLINI-GOMEZ,11,0.89,0.01,San Luis,PRINCIPIOS Y VALORES
476,2B- TRANSFORMAR,MARTINEZ-SOUTO,7,0.57,0.01,San Luis,PRINCIPIOS Y VALORES
477,5E- LABORISTA,ARIAS-VERA,6,0.48,0.01,San Luis,PRINCIPIOS Y VALORES
478,A- PRIMERO LA PATRIA,BIONDINI-AVENDAÑO,1127,100.0,0.39,San Luis,FRENTE PATRIOTA FEDERAL
479,A- UNIDAD OBRERA,RAMAL-URONES,987,100.0,0.34,San Luis,POLITICA OBRERA
480,A- IZQUIERDA ANTICAPITALISTA,CASTAÑEIRA-RUIZ,874,100.0,0.3,San Luis,MOVIMIENTO AL SOCIALISMO
481,A- COMPROMISO VECINAL,ALBARRACIN-PASTORE,803,100.0,0.28,San Luis,MOVIMIENTO DE ACCION VECINAL
482,A- DEMOS,ETCHEPARE-LORENZO,186,84.54,0.06,San Luis,FRENTE LIBER.AR
483,B- RECONQUISTA,VASENA-LAGONEGRO,21,9.54,0.01,San Luis,FRENTE LIBER.AR
484,C- ANTICORRUPCIÓN,BARBARO-PUCHETA,13,5.9,0.01,San Luis,FRENTE LIBER.AR
485,A- COALICION PAZ DEMOCRACIA SOBERANIA,GIARDINELLI-SOLERNOU,17,43.58,0.01,San Luis,PROYECTO JOVEN
486,B- PATRIA UNIDA,AYERBE-RODRIGUEZ,13,33.33,0.01,San Luis,PROYECTO JOVEN
487,C- TODEX,IBAÑEZ-IBARRA,9,23.07,0.01,San Luis,PROYECTO JOVEN
488,A- APERTURA LIBERAL ARGENTINA,PASSAMONTI-FERNANDEZ,27,100.0,0.01,San Luis,UNION DEL CENTRO DEMOCRATICO
489,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,52189,100.0,28.96,Santa Cruz,LA LIBERTAD AVANZA
490,A- CELESTE Y BLANCA,MASSA-ROSSI,29622,76.98,16.43,Santa Cruz,UNION POR LA PATRIA
491,B- JUSTA Y SOBERANA,GRABOIS-ABAL MEDINA,8857,23.01,4.91,Santa Cruz,UNION POR LA PATRIA
492,B- LA FUERZA DEL CAMBIO,BULLRICH-PETRI,17507,62.27,9.71,Santa Cruz,JUNTOS POR EL CAMBIO
493,A- EL CAMBIO DE NUESTRAS VIDAS,RODRIGUEZ LARRETA-MORALES,10604,37.72,5.88,Santa Cruz,JUNTOS POR EL CAMBIO
494,A- HACEMOS,SCHIARETTI-RANDAZZO,3679,100.0,2.04,Santa Cruz,HACEMOS POR NUESTRO PAIS
495,A- UNIR Y FORTALECER LA IZQUIERDA,BREGMAN-DEL CAÑO,1856,56.34,1.02,Santa Cruz,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
496,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,SOLANO-RIPOLL,1438,43.65,0.79,Santa Cruz,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
497,A- AZUL Y ROJO,ESCOBAR-LEZAMA HID,607,100.0,0.33,Santa Cruz,MOVIMIENTO LIBRES DEL SUR
498,A- IZQUIERDA ANTICAPITALISTA,CASTAÑEIRA-RUIZ,414,100.0,0.22,Santa Cruz,MOVIMIENTO AL SOCIALISMO
499,A- UNIDAD OBRERA,RAMAL-URONES,403,100.0,0.22,Santa Cruz,POLITICA OBRERA
500,B- CONFEDERAL,CÚNEO-BARRANCO,334,93.03,0.18,Santa Cruz,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
501,A- DIGNIDAD,CASTELLS-REINOSO,25,6.96,0.01,Santa Cruz,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
502,A- PRIMERO LA PATRIA,BIONDINI-AVENDAÑO,209,100.0,0.11,Santa Cruz,FRENTE PATRIOTA FEDERAL
503,A- COMPROMISO VECINAL,ALBARRACIN-PASTORE,138,100.0,0.07,Santa Cruz,MOVIMIENTO DE ACCION VECINAL
504,"1A- TIERRA, TECHO  Y TRABAJO",MORENO-FABRE,65,100.0,0.03,Santa Cruz,PRINCIPIOS Y VALORES
505,2B- TRANSFORMAR,MARTINEZ-SOUTO,0,0.0,0.0,Santa Cruz,PRINCIPIOS Y VALORES
506,3C- TRES BANDERAS,OLIVER-SAN MARTIN,0,0.0,0.0,Santa Cruz,PRINCIPIOS Y VALORES
507,4D- GENTE DE TRABAJO,BARTOLINI-GOMEZ,0,0.0,0.0,Santa Cruz,PRINCIPIOS Y VALORES
508,5E- LABORISTA,ARIAS-VERA,0,0.0,0.0,Santa Cruz,PRINCIPIOS Y VALORES
509,A- DEMOS,ETCHEPARE-LORENZO,11,91.66,0.01,Santa Cruz,FRENTE LIBER.AR
510,C- ANTICORRUPCIÓN,BARBARO-PUCHETA,1,8.33,0.01,Santa Cruz,FRENTE LIBER.AR
511,B- RECONQUISTA,VASENA-LAGONEGRO,0,0.0,0.0,Santa Cruz,FRENTE LIBER.AR
512,B- PATRIA UNIDA,AYERBE-RODRIGUEZ,3,75.0,0.01,Santa Cruz,PROYECTO JOVEN
513,A- COALICION PAZ DEMOCRACIA SOBERANIA,GIARDINELLI-SOLERNOU,1,25.0,0.01,Santa Cruz,PROYECTO JOVEN
514,C- TODEX,IBAÑEZ-IBARRA,0,0.0,0.0,Santa Cruz,PROYECTO JOVEN
515,A- APERTURA LIBERAL ARGENTINA,PASSAMONTI-FERNANDEZ,4,100.0,0.01,Santa Cruz,UNION DEL CENTRO DEMOCRATICO
516,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,646315,100.0,35.19,Santa Fe,LA LIBERTAD AVANZA
517,B- LA FUERZA DEL CAMBIO,BULLRICH-PETRI,369533,63.72,20.12,Santa Fe,JUNTOS POR EL CAMBIO
518,A- EL CAMBIO DE NUESTRAS VIDAS,RODRIGUEZ LARRETA-MORALES,210334,36.27,11.45,Santa Fe,JUNTOS POR EL CAMBIO
519,A- CELESTE Y BLANCA,MASSA-ROSSI,301725,77.99,16.43,Santa Fe,UNION POR LA PATRIA
520,B- JUSTA Y SOBERANA,GRABOIS-ABAL MEDINA,85140,22.0,4.63,Santa Fe,UNION POR LA PATRIA
521,A- HACEMOS,SCHIARETTI-RANDAZZO,67563,100.0,3.67,Santa Fe,HACEMOS POR NUESTRO PAIS
522,A- UNIR Y FORTALECER LA IZQUIERDA,BREGMAN-DEL CAÑO,21601,70.03,1.17,Santa Fe,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
523,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,SOLANO-RIPOLL,9244,29.96,0.5,Santa Fe,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
524,"1A- TIERRA, TECHO  Y TRABAJO",MORENO-FABRE,25979,98.75,1.41,Santa Fe,PRINCIPIOS Y VALORES
525,2B- TRANSFORMAR,MARTINEZ-SOUTO,217,0.82,0.01,Santa Fe,PRINCIPIOS Y VALORES
526,3C- TRES BANDERAS,OLIVER-SAN MARTIN,41,0.15,0.01,Santa Fe,PRINCIPIOS Y VALORES
527,5E- LABORISTA,ARIAS-VERA,36,0.13,0.01,Santa Fe,PRINCIPIOS Y VALORES
528,4D- GENTE DE TRABAJO,BARTOLINI-GOMEZ,34,0.12,0.01,Santa Fe,PRINCIPIOS Y VALORES
529,B- CONFEDERAL,CÚNEO-BARRANCO,4468,66.75,0.24,Santa Fe,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
530,A- DIGNIDAD,CASTELLS-REINOSO,2225,33.24,0.12,Santa Fe,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
531,A- AZUL Y ROJO,ESCOBAR-LEZAMA HID,5606,100.0,0.3,Santa Fe,MOVIMIENTO LIBRES DEL SUR
532,A- IZQUIERDA ANTICAPITALISTA,CASTAÑEIRA-RUIZ,5554,100.0,0.3,Santa Fe,MOVIMIENTO AL SOCIALISMO
533,B- RECONQUISTA,VASENA-LAGONEGRO,2359,58.71,0.12,Santa Fe,FRENTE LIBER.AR
534,C- ANTICORRUPCIÓN,BARBARO-PUCHETA,853,21.22,0.04,Santa Fe,FRENTE LIBER.AR
535,A- DEMOS,ETCHEPARE-LORENZO,806,20.05,0.04,Santa Fe,FRENTE LIBER.AR
536,A- UNIDAD OBRERA,RAMAL-URONES,3578,100.0,0.19,Santa Fe,POLITICA OBRERA
537,A- PRIMERO LA PATRIA,BIONDINI-AVENDAÑO,2406,100.0,0.13,Santa Fe,FRENTE PATRIOTA FEDERAL
538,A- COMPROMISO VECINAL,ALBARRACIN-PASTORE,2288,100.0,0.12,Santa Fe,MOVIMIENTO DE ACCION VECINAL
539,A- COALICION PAZ DEMOCRACIA SOBERANIA,GIARDINELLI-SOLERNOU,1217,63.51,0.06,Santa Fe,PROYECTO JOVEN
540,C- TODEX,IBAÑEZ-IBARRA,455,23.74,0.02,Santa Fe,PROYECTO JOVEN
541,B- PATRIA UNIDA,AYERBE-RODRIGUEZ,244,12.73,0.01,Santa Fe,PROYECTO JOVEN
542,A- APERTURA LIBERAL ARGENTINA,PASSAMONTI-FERNANDEZ,1218,100.0,0.06,Santa Fe,UNION DEL CENTRO DEMOCRATICO
543,A- CELESTE Y BLANCA,MASSA-ROSSI,272293,97.05,51.71,Santiago del Estero,UNION POR LA PATRIA
544,B- JUSTA Y SOBERANA,GRABOIS-ABAL MEDINA,8270,2.94,1.57,Santiago del Estero,UNION POR LA PATRIA
545,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,142042,100.0,26.97,Santiago del Estero,LA LIBERTAD AVANZA
546,B- LA FUERZA DEL CAMBIO,BULLRICH-PETRI,31652,56.61,6.01,Santiago del Estero,JUNTOS POR EL CAMBIO
547,A- EL CAMBIO DE NUESTRAS VIDAS,RODRIGUEZ LARRETA-MORALES,24260,43.38,4.6,Santiago del Estero,JUNTOS POR EL CAMBIO
548,A- AZUL Y ROJO,ESCOBAR-LEZAMA HID,10260,100.0,1.94,Santiago del Estero,MOVIMIENTO LIBRES DEL SUR
549,A- HACEMOS,SCHIARETTI-RANDAZZO,7605,100.0,1.44,Santiago del Estero,HACEMOS POR NUESTRO PAIS
550,A- UNIR Y FORTALECER LA IZQUIERDA,BREGMAN-DEL CAÑO,2890,51.55,0.54,Santiago del Estero,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
551,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,SOLANO-RIPOLL,2716,48.44,0.51,Santiago del Estero,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
552,A- IZQUIERDA ANTICAPITALISTA,CASTAÑEIRA-RUIZ,1644,100.0,0.31,Santiago del Estero,MOVIMIENTO AL SOCIALISMO
553,B- CONFEDERAL,CÚNEO-BARRANCO,731,57.1,0.13,Santiago del Estero,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
554,A- DIGNIDAD,CASTELLS-REINOSO,549,42.89,0.1,Santiago del Estero,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
555,A- UNIDAD OBRERA,RAMAL-URONES,1192,100.0,0.22,Santiago del Estero,POLITICA OBRERA
556,A- COMPROMISO VECINAL,ALBARRACIN-PASTORE,808,100.0,0.15,Santiago del Estero,MOVIMIENTO DE ACCION VECINAL
557,A- PRIMERO LA PATRIA,BIONDINI-AVENDAÑO,790,100.0,0.15,Santiago del Estero,FRENTE PATRIOTA FEDERAL
558,C- ANTICORRUPCIÓN,BARBARO-PUCHETA,278,87.14,0.05,Santiago del Estero,FRENTE LIBER.AR
559,A- DEMOS,ETCHEPARE-LORENZO,33,10.34,0.01,Santiago del Estero,FRENTE LIBER.AR
560,B- RECONQUISTA,VASENA-LAGONEGRO,8,2.5,0.01,Santiago del Estero,FRENTE LIBER.AR
561,B- PATRIA UNIDA,AYERBE-RODRIGUEZ,51,65.38,0.01,Santiago del Estero,PROYECTO JOVEN
562,A- COALICION PAZ DEMOCRACIA SOBERANIA,GIARDINELLI-SOLERNOU,23,29.48,0.01,Santiago del Estero,PROYECTO JOVEN
563,C- TODEX,IBAÑEZ-IBARRA,4,5.12,0.01,Santiago del Estero,PROYECTO JOVEN
564,"1A- TIERRA, TECHO  Y TRABAJO",MORENO-FABRE,11,84.61,0.01,Santiago del Estero,PRINCIPIOS Y VALORES
565,5E- LABORISTA,ARIAS-VERA,2,15.38,0.01,Santiago del Estero,PRINCIPIOS Y VALORES
566,2B- TRANSFORMAR,MARTINEZ-SOUTO,0,0.0,0.0,Santiago del Estero,PRINCIPIOS Y VALORES
567,3C- TRES BANDERAS,OLIVER-SAN MARTIN,0,0.0,0.0,Santiago del Estero,PRINCIPIOS Y VALORES
568,4D- GENTE DE TRABAJO,BARTOLINI-GOMEZ,0,0.0,0.0,Santiago del Estero,PRINCIPIOS Y VALORES
569,A- APERTURA LIBERAL ARGENTINA,PASSAMONTI-FERNANDEZ,2,100.0,0.01,Santiago del Estero,UNION DEL CENTRO DEMOCRATICO
570,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,35697,100.0,35.28,Tierra del Fuego,LA LIBERTAD AVANZA
571,A- CELESTE Y BLANCA,MASSA-ROSSI,22786,76.97,22.52,Tierra del Fuego,UNION POR LA PATRIA
572,B- JUSTA Y SOBERANA,GRABOIS-ABAL MEDINA,6814,23.02,6.73,Tierra del Fuego,UNION POR LA PATRIA
573,B- LA FUERZA DEL CAMBIO,BULLRICH-PETRI,11704,55.61,11.56,Tierra del Fuego,JUNTOS POR EL CAMBIO
574,A- EL CAMBIO DE NUESTRAS VIDAS,RODRIGUEZ LARRETA-MORALES,9341,44.38,9.23,Tierra del Fuego,JUNTOS POR EL CAMBIO
575,A- HACEMOS,SCHIARETTI-RANDAZZO,4315,100.0,4.26,Tierra del Fuego,HACEMOS POR NUESTRO PAIS
576,A- UNIR Y FORTALECER LA IZQUIERDA,BREGMAN-DEL CAÑO,2074,76.72,2.05,Tierra del Fuego,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
577,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,SOLANO-RIPOLL,629,23.27,0.62,Tierra del Fuego,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
578,"1A- TIERRA, TECHO  Y TRABAJO",MORENO-FABRE,1848,99.56,1.82,Tierra del Fuego,PRINCIPIOS Y VALORES
579,2B- TRANSFORMAR,MARTINEZ-SOUTO,7,0.37,0.01,Tierra del Fuego,PRINCIPIOS Y VALORES
580,5E- LABORISTA,ARIAS-VERA,1,0.05,0.01,Tierra del Fuego,PRINCIPIOS Y VALORES
581,3C- TRES BANDERAS,OLIVER-SAN MARTIN,0,0.0,0.0,Tierra del Fuego,PRINCIPIOS Y VALORES
582,4D- GENTE DE TRABAJO,BARTOLINI-GOMEZ,0,0.0,0.0,Tierra del Fuego,PRINCIPIOS Y VALORES
583,A- IZQUIERDA ANTICAPITALISTA,CASTAÑEIRA-RUIZ,842,100.0,0.83,Tierra del Fuego,MOVIMIENTO AL SOCIALISMO
584,A- UNIDAD OBRERA,RAMAL-URONES,726,100.0,0.71,Tierra del Fuego,POLITICA OBRERA
585,A- AZUL Y ROJO,ESCOBAR-LEZAMA HID,676,100.0,0.66,Tierra del Fuego,MOVIMIENTO LIBRES DEL SUR
586,A- COMPROMISO VECINAL,ALBARRACIN-PASTORE,479,100.0,0.47,Tierra del Fuego,MOVIMIENTO DE ACCION VECINAL
587,B- CONFEDERAL,CÚNEO-BARRANCO,16,64.0,0.01,Tierra del Fuego,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
588,A- DIGNIDAD,CASTELLS-REINOSO,9,36.0,0.01,Tierra del Fuego,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
589,A- PRIMERO LA PATRIA,BIONDINI-AVENDAÑO,12,100.0,0.01,Tierra del Fuego,FRENTE PATRIOTA FEDERAL
590,C- TODEX,IBAÑEZ-IBARRA,6,85.71,0.01,Tierra del Fuego,PROYECTO JOVEN
591,B- PATRIA UNIDA,AYERBE-RODRIGUEZ,1,14.28,0.01,Tierra del Fuego,PROYECTO JOVEN
592,A- COALICION PAZ DEMOCRACIA SOBERANIA,GIARDINELLI-SOLERNOU,0,0.0,0.0,Tierra del Fuego,PROYECTO JOVEN
593,A- APERTURA LIBERAL ARGENTINA,PASSAMONTI-FERNANDEZ,7,100.0,0.01,Tierra del Fuego,UNION DEL CENTRO DEMOCRATICO
594,B- RECONQUISTA,VASENA-LAGONEGRO,6,100.0,0.01,Tierra del Fuego,FRENTE LIBER.AR
595,A- DEMOS,ETCHEPARE-LORENZO,0,0.0,0.0,Tierra del Fuego,FRENTE LIBER.AR
596,C- ANTICORRUPCIÓN,BARBARO-PUCHETA,0,0.0,0.0,Tierra del Fuego,FRENTE LIBER.AR
597,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,342681,100.0,35.95,Tucuman,LA LIBERTAD AVANZA
598,A- CELESTE Y BLANCA,MASSA-ROSSI,279766,89.35,29.34,Tucuman,UNION POR LA PATRIA
599,B- JUSTA Y SOBERANA,GRABOIS-ABAL MEDINA,33319,10.64,3.49,Tucuman,UNION POR LA PATRIA
600,B- LA FUERZA DEL CAMBIO,BULLRICH-PETRI,104824,50.64,10.99,Tucuman,JUNTOS POR EL CAMBIO
601,A- EL CAMBIO DE NUESTRAS VIDAS,RODRIGUEZ LARRETA-MORALES,102145,49.35,10.71,Tucuman,JUNTOS POR EL CAMBIO
602,A- UNIR Y FORTALECER LA IZQUIERDA,BREGMAN-DEL CAÑO,10118,63.12,1.06,Tucuman,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
603,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,SOLANO-RIPOLL,5911,36.87,0.62,Tucuman,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
604,A- AZUL Y ROJO,ESCOBAR-LEZAMA HID,15445,100.0,1.62,Tucuman,MOVIMIENTO LIBRES DEL SUR
605,A- HACEMOS,SCHIARETTI-RANDAZZO,11302,100.0,1.18,Tucuman,HACEMOS POR NUESTRO PAIS
606,A- UNIDAD OBRERA,RAMAL-URONES,3349,100.0,0.35,Tucuman,POLITICA OBRERA
607,A- DIGNIDAD,CASTELLS-REINOSO,1625,50.7,0.17,Tucuman,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
608,B- CONFEDERAL,CÚNEO-BARRANCO,1580,49.29,0.16,Tucuman,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
609,A- IZQUIERDA ANTICAPITALISTA,CASTAÑEIRA-RUIZ,2971,100.0,0.31,Tucuman,MOVIMIENTO AL SOCIALISMO
610,A- PRIMERO LA PATRIA,BIONDINI-AVENDAÑO,2889,100.0,0.3,Tucuman,FRENTE PATRIOTA FEDERAL
611,"1A- TIERRA, TECHO  Y TRABAJO",MORENO-FABRE,1956,93.18,0.2,Tucuman,PRINCIPIOS Y VALORES
612,2B- TRANSFORMAR,MARTINEZ-SOUTO,66,3.14,0.01,Tucuman,PRINCIPIOS Y VALORES
613,5E- LABORISTA,ARIAS-VERA,51,2.42,0.01,Tucuman,PRINCIPIOS Y VALORES
614,3C- TRES BANDERAS,OLIVER-SAN MARTIN,16,0.76,0.01,Tucuman,PRINCIPIOS Y VALORES
615,4D- GENTE DE TRABAJO,BARTOLINI-GOMEZ,10,0.47,0.01,Tucuman,PRINCIPIOS Y VALORES
616,A- COMPROMISO VECINAL,ALBARRACIN-PASTORE,1972,100.0,0.2,Tucuman,MOVIMIENTO DE ACCION VECINAL
617,C- ANTICORRUPCIÓN,BARBARO-PUCHETA,286,55.64,0.03,Tucuman,FRENTE LIBER.AR
618,B- RECONQUISTA,VASENA-LAGONEGRO,138,26.84,0.01,Tucuman,FRENTE LIBER.AR
619,A- DEMOS,ETCHEPARE-LORENZO,90,17.5,0.01,Tucuman,FRENTE LIBER.AR
620,A- COALICION PAZ DEMOCRACIA SOBERANIA,GIARDINELLI-SOLERNOU,23,50.0,0.01,Tucuman,PROYECTO JOVEN
621,C- TODEX,IBAÑEZ-IBARRA,17,36.95,0.01,Tucuman,PROYECTO JOVEN
622,B- PATRIA UNIDA,AYERBE-RODRIGUEZ,6,13.04,0.01,Tucuman,PROYECTO JOVEN
623,A- APERTURA LIBERAL ARGENTINA,PASSAMONTI-FERNANDEZ,33,100.0,0.01,Tucuman,UNION DEL CENTRO DEMOCRATICO
