Name,Milei,Bullrich,Massa,Larreta
Nivel Nacional,30.04,16.98,21.4,11.3
Buenos Aires,-5.52,-0.54,2.08,1.4
Catamarca,-5.32,-5.93,16.8,-1.87
Chaco,-1.11,-1.57,10.61,-0.15
Chubut,9.36,-2.12,-4.71,-1.82
Capital Federal,-12.27,11.3,-4.95,8.74
Corrientes,-0.86,6.5,4.63,-0.49
Cordoba,3.57,1.79,-15.24,-4.91
Entre Rios,-8.06,3.84,1.12,-0.01
Formosa,-4.54,-2.25,23.75,-4.32
Jujuy,9.79,-11.29,-4.35,6.8
La Pampa,2.73,-0.92,0.95,1.02
La Rioja,6.38,-7.47,6.76,-0.58
Mendoza,14.76,5.07,-7.88,-5.11
Misiones,12.99,-4.22,2.92,-5.09
Neuquen,9,-2.53,-7.03,-2.93
Rio Negro,7.25,-3.74,-3.31,-3.37
Salta,19.34,-6.68,-0.03,-4.41
San Juan,4.13,-4.17,1.27,3.79
San Luis,17.81,-5.19,-7.87,0.43
Santa Cruz,-1.08,-7.27,-4.97,-5.41
Santa Fe,5.15,3.14,-4.97,0.16
Santiago del Estero,-3.07,-10.97,30.31,-6.69
Tierra del Fuego,5.24,-5.42,1.12,-2.06
Tucuman,5.91,-5.99,7.94,-0.58